date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:57	131215/131215	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Dec%202025%2020:05:30%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Wasabi-Furikake.jpg?v=1669307460	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Wasabi-Furikake9c8c.jpg	(from https://shoppu.mochi.at/produkte/p/furikake-wasabi-nihon-kaisui-50g)
13:19:57	86699/86699	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:13%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/vegetarian-Shiro-DAshi.jpg?v=1701867383	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/vegetarian-Shiro-DAshi47fe.jpg	(from https://shoppu.mochi.at/produkte/p/vegetarische-shiro-dashi-300ml)
13:19:58	62702/62702	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:34%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/Phil-gr.jpg?v=1741869918	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/Phil-gr039b.jpg	(from https://shoppu.mochi.at/produkte/p/phil-organic-olivenol)
13:19:58	95764/95764	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:35%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/pure-black-Vinegar.jpg?v=1701867278	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/pure-black-Vinegar5b53.jpg	(from https://shoppu.mochi.at/produkte/p/brauner-reisessig-360ml)
13:19:59	211094/211094	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:36%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Yume-Nishiki.jpg?v=1676470573	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Yume-Nishikiacf9.jpg	(from https://shoppu.mochi.at/produkte/p/yume-nishiki-rice)
13:19:59	198190/198190	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:37%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/files/soft-Panko.jpg?v=1701867328	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/files/soft-Pankoe22a.jpg	(from https://shoppu.mochi.at/produkte/p/soft-panko)
13:19:59	109529/109529	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Sat,%2020%20Dec%202025%2014:58:23%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/Rice-Miso.jpg?v=1636981992	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/Rice-Misocc5d.jpg	(from https://shoppu.mochi.at/produkte/p/miso-blanc)
13:19:59	89835/89835	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:12%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/rote-Miso.jpg?v=1664458396	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/rote-Miso79da.jpg	(from https://shoppu.mochi.at/produkte/p/rice-miso-500g)
13:19:59	98300/98300	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:15:38%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/dunkle-Miso.jpg?v=1664458959	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/dunkle-Misof260.jpg	(from https://shoppu.mochi.at/produkte/p/red-miso-500g)
13:20:00	106652/106652	---M--	200	added ('OK')	image/jpeg	date:Wed,%2024%20Dec%202025%2008:16:39%20GMT	https://cdn.shopify.com/s/files/1/0550/2494/3363/products/yuzu-miso.jpg?v=1657723442	C:/My%20Web%20Sites/merch/cdn.shopify.com/s/files/1/0550/2494/3363/products/yuzu-miso226c.jpg	(from https://shoppu.mochi.at/produkte/p/yuzu-miso-150g)
